name,location,classification,enrollment,founded
Babson College,Wellesley MA,Special-focus institution,3989,1919
Benjamin Franklin Institute of Technology,Boston MA,Baccalaureate/associate's college,513,1908
Bentley University,Waltham MA,Master's university,5165,1917
Berklee College of Music,Boston MA,Master's university,8282,1945
Boston Architectural College,Boston MA,Special-focus institution,747,1889
Boston Baptist College,Milton MA,Special-focus institution,43,1976
Boston College,Chestnut Hill MA,Research university,15287,1863
Boston Graduate School of Psychoanalysis,Brookline MA,Special-focus institution,155,1973
Boston University,Boston MA,Research university,36714,1839
Brandeis University,Waltham MA,Research university,5581,1948
Bunker Hill Community College,Boston MA,Associate's college,8439,1973
Cambridge College,Cambridge MA,Master's university,2135,1971
Curry College,Milton MA,Master's university,2052,1879
Dean College,Franklin MA,Baccalaureate college,1189,1865
Emerson College,Boston MA,Master's university,5891,1880
Emmanuel College,Boston MA,Baccalaureate college,2012,1919
Endicott College,Beverly MA,Master's university,4006,1939
Fisher College,Boston MA,Baccalaureate college,1421,1903
Framingham State University,Framingham MA,Master's university,4111,1839
Gordon College,Wenham MA,Baccalaureate college,1628,1889
Gordon-Conwell Theological Seminary,South Hamilton MA,Special-focus institution,1334,1969
Harvard University,Cambridge MA,Research university,30631,1636
Hebrew College,Newton MA,Special-focus institution,212,1921
Hellenic College Holy Cross,Brookline MA,Baccalaureate college,199,1937
Hult International Business School,Cambridge MA,Special-focus institution,2176,1964
Laboure College,Boston MA,Special-focus institution,983,1892
Lasell University,Newton MA,Master's university,1591,1851
Lesley University,Cambridge MA,Doctorate-granting university,3406,1909
Longy School of Music of Bard College,Cambridge MA,Special-focus institution,315,1915
Massachusetts Bay Community College,Wellesley MA,Associate's college,3497,1961
Massachusetts College of Art and Design,Boston MA,Special-focus institution,1939,1873
Massachusetts Institute of Technology,Cambridge MA,Research university,11858,1861
Massachusetts School of Law,Andover MA,Special-focus institution,295,1988
Massasoit Community College,Brockton MA,Associate's college,4810,1966
Massachusetts College of Pharmacy and Health Sciences,Boston MA,Special-focus institution,6824,1823
Merrimack College,North Andover MA,Master's university,5505,1947
MGH Institute of Health Professions,Boston MA,Special-focus institution,1353,1977
Middlesex Community College,Lowell MA,Associate's college,7770,1970
Montserrat College of Art,Beverly MA,Baccalaureate college,296,1970
New England College of Optometry,Boston MA,Special-focus institution,536,1894
New England Conservatory of Music,Boston MA,Special-focus institution,796,1867
New England Law Boston,Boston MA,Special-focus institution,1060,1938
North Shore Community College,Danvers MA,Associate's college,4391,1965
Northeastern University,Boston MA,Research university,30013,1898
Northern Essex Community College,Haverhill MA,Associate's college,4339,1972
Northpoint Bible College,Haverhill MA,Special-focus institution,225,1924
Olin College,Needham MA,Special-focus institution,386,1997
Pope St. John XXIII National Seminary,Weston MA,Special-focus institution,47,1964
Quincy College,Quincy MA,Associate's college,2602,1958
Regis College,Weston MA,Master's university,3230,1927
Roxbury Community College,Roxbury MA,Associate's college,1214,1973
Saint John's Seminary,Brighton MA,Special-focus institution,103,1884
Salem State University,Salem MA,Master's university,6539,1854
Simmons University,Boston MA,Doctorate-granting university,5710,1899
Stonehill College,Easton MA,Baccalaureate college,2543,1948
Suffolk University,Boston MA,Research university,6734,1906
Tufts University,Medford MA,Research university,13431,1852
University of Massachusetts Boston,Boston MA,Research university,15586,1964
University of Massachusetts Lowell,Lowell MA,Research university,17153,1894
Urban College of Boston,Boston MA,Associate's college,596,1993
Wellesley College,Wellesley MA,Baccalaureate college,2447,1875
Wentworth Institute of Technology,Boston MA,Master's university,3920,1904
Wheaton College,Norton MA,Baccalaureate college,1667,1834
William James College,Newton MA,Special-focus institution,897,1974
