name,city,ownership,classification,enrollment,founded,greater_boston
American International College,Springfield,Private,Master's university,2010,1885,no
Amherst College,Amherst,Private,Baccalaureate college,1898,1821,no
Anna Maria College,Paxton,Private,Master's university,1436,1946,no
Assumption University,Worcester,Private,Master's university,2059,1904,no
Babson College,Wellesley,Private,Special-focus institution,3989,1919,yes
Bay Path University,Longmeadow,Private,Master's university,2465,1897,no
Benjamin Franklin Institute of Technology,Boston,Private,Baccalaureate/associate's college,513,1908,yes
Bentley University,Waltham,Private,Master's university,5165,1917,yes
Berklee College of Music,Boston,Private,Master's university,8282,1945,yes
Berkshire Community College,Pittsfield,Public,Associate's college,1367,1960,no
Boston Architectural College,Boston,Private,Special-focus institution,747,1889,yes
Boston Baptist College,Milton,Private,Special-focus institution,43,1976,yes
Boston College,Chestnut Hill,Private,Research university,15287,1863,yes
Boston Graduate School of Psychoanalysis,Brookline,Private,Special-focus institution,155,1973,yes
Boston University,Boston,Private,Research university,36714,1839,yes
Brandeis University,Waltham,Private,Research university,5581,1948,yes
Bridgewater State University,Bridgewater,Public,Master's university,9604,1840,no
Bristol Community College,Fall River,Public,Associate's college,5822,1965,no
Bunker Hill Community College,Boston,Public,Associate's college,8439,1973,yes
Cambridge College,Cambridge,Private,Master's university,2135,1971,yes
Cape Cod Community College,West Barnstable,Public,Associate's college,2336,1961,no
Clark University,Worcester,Private,Research university,3770,1887,no
College of the Holy Cross,Worcester,Private,Baccalaureate college,3083,1843,no
Conway School of Landscape Design,Northampton,Private,Special-focus institution,18,1972,no
Curry College,Milton,Private,Master's university,2052,1879,yes
Dean College,Franklin,Private,Baccalaureate college,1189,1865,yes
Elms College,Chicopee,Private,Master's university,1275,1928,no
Emerson College,Boston,Private,Master's university,5891,1880,yes
Emmanuel College,Boston,Private,Baccalaureate college,2012,1919,yes
Endicott College,Beverly,Private,Master's university,4006,1939,yes
Fisher College,Boston,Private,Baccalaureate college,1421,1903,yes
Fitchburg State University,Fitchburg,Public,Master's university,6554,1894,no
Framingham State University,Framingham,Public,Master's university,4111,1839,yes
Gordon College,Wenham,Private,Baccalaureate college,1628,1889,yes
Gordon-Conwell Theological Seminary,South Hamilton,Private,Special-focus institution,1334,1969,yes
Greenfield Community College,Greenfield,Public,Associate's college,1419,1962,no
Hampshire College,Amherst,Private,Baccalaureate college,508,1970,no
Harvard University,Cambridge,Private,Research university,30631,1636,yes
Hebrew College,Newton,Private,Special-focus institution,212,1921,yes
Hellenic College Holy Cross,Brookline,Private,Baccalaureate college,199,1937,yes
Holyoke Community College,Holyoke,Public,Associate's college,3550,1946,no
Hult International Business School,Cambridge,Private,Special-focus institution,2176,1964,yes
Laboure College,Boston,Private,Special-focus institution,983,1892,yes
Lasell University,Newton,Private,Master's university,1591,1851,yes
Lesley University,Cambridge,Private,Doctorate-granting university,3406,1909,yes
Longy School of Music of Bard College,Cambridge,Private,Special-focus institution,315,1915,yes
Massachusetts Bay Community College,Wellesley,Public,Associate's college,3497,1961,yes
Massachusetts College of Art and Design,Boston,Public,Special-focus institution,1939,1873,yes
Massachusetts College of Liberal Arts,North Adams,Public,Baccalaureate college,938,1894,no
Massachusetts Institute of Technology,Cambridge,Private,Research university,11858,1861,yes
Massachusetts Maritime Academy,Bourne,Public,Master's university,1425,1891,no
